epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.102,2.21832,3.05976,1.94363,0.02897,0.22364,0.03693,0.01357,2.87504,4.21375,2.2398,0.0670382,0.000332948,0.000332948
2,398.128,2.11152,2.65081,1.85309,0.27643,0.25393,0.17208,0.06574,2.15879,2.69319,1.94221,0.0340316,0.000659685,0.000659685
3,593.619,2.04221,2.54415,1.79757,0.28276,0.24227,0.19102,0.07477,2.22384,2.91586,1.90857,0.0010184,0.000979822,0.000979822
4,780.675,2.00431,2.45755,1.75867,0.2802,0.26039,0.19588,0.07892,2.09248,2.65832,1.95935,0.0009703,0.0009703,0.0009703
5,981.238,1.95912,2.39237,1.72317,0.33195,0.29969,0.24041,0.10324,2.04207,2.62219,1.77896,0.0009604,0.0009604,0.0009604
6,1171.09,1.92433,2.3188,1.6971,0.35784,0.3227,0.26806,0.1133,2.05411,2.31906,1.79331,0.0009505,0.0009505,0.0009505
7,1361.23,1.90158,2.26548,1.6725,0.42796,0.34832,0.32969,0.14319,1.96061,2.28448,1.72431,0.0009406,0.0009406,0.0009406
8,1551.54,1.88399,2.21864,1.6595,0.45816,0.38349,0.36627,0.16177,1.93245,2.15069,1.71086,0.0009307,0.0009307,0.0009307
9,1743.58,1.87171,2.19672,1.64814,0.45634,0.37425,0.35814,0.16477,1.93204,2.16406,1.71127,0.0009208,0.0009208,0.0009208
10,1930.61,1.85528,2.16997,1.63669,0.45113,0.39387,0.37484,0.17239,1.90277,2.11092,1.67875,0.0009109,0.0009109,0.0009109
11,2119.45,1.8411,2.14771,1.6256,0.45334,0.41005,0.38626,0.17787,1.85707,2.08487,1.64423,0.000901,0.000901,0.000901
12,2303.34,1.83486,2.11675,1.61199,0.49072,0.41834,0.40837,0.19342,1.84728,1.99627,1.63031,0.0008911,0.0008911,0.0008911
13,2489.64,1.8248,2.09612,1.60492,0.49578,0.42643,0.41824,0.197,1.82704,1.99724,1.63741,0.0008812,0.0008812,0.0008812
14,2676.32,1.8119,2.07482,1.60493,0.50944,0.41444,0.42241,0.19719,1.8251,1.96226,1.61598,0.0008713,0.0008713,0.0008713
15,2864.51,1.80041,2.05306,1.59369,0.51458,0.43235,0.44229,0.2093,1.79711,1.93501,1.59865,0.0008614,0.0008614,0.0008614
16,3048.96,1.79301,2.03236,1.58395,0.53315,0.43949,0.44812,0.21713,1.79645,1.90505,1.59986,0.0008515,0.0008515,0.0008515
17,3237.72,1.78345,2.02264,1.57524,0.53477,0.44851,0.45554,0.22114,1.76892,1.89341,1.58318,0.0008416,0.0008416,0.0008416
18,3422.26,1.78021,2.01098,1.56729,0.52746,0.45036,0.46335,0.22362,1.77134,1.88968,1.57843,0.0008317,0.0008317,0.0008317
19,3608.68,1.7746,1.99727,1.56679,0.53911,0.44248,0.46482,0.22501,1.76341,1.85671,1.57496,0.0008218,0.0008218,0.0008218
20,3797.47,1.76653,1.9771,1.55658,0.54822,0.45732,0.47505,0.23529,1.76276,1.8417,1.5749,0.0008119,0.0008119,0.0008119
21,3982.85,1.7513,1.96783,1.55437,0.54725,0.47752,0.48609,0.24035,1.74032,1.82924,1.55727,0.000802,0.000802,0.000802
22,4171.7,1.75073,1.94665,1.54468,0.54662,0.46771,0.48815,0.2408,1.74051,1.8247,1.55545,0.0007921,0.0007921,0.0007921
23,4357.75,1.74788,1.94564,1.54808,0.55737,0.47772,0.49608,0.24704,1.73374,1.79575,1.54855,0.0007822,0.0007822,0.0007822
24,4545.85,1.73878,1.92618,1.53813,0.56423,0.48321,0.50255,0.25042,1.74366,1.78401,1.55173,0.0007723,0.0007723,0.0007723
25,4732.1,1.73116,1.9208,1.53056,0.57164,0.47668,0.50319,0.25124,1.73513,1.78044,1.54598,0.0007624,0.0007624,0.0007624
26,4918.83,1.72946,1.90588,1.52512,0.56801,0.48246,0.50617,0.25449,1.73232,1.77172,1.53925,0.0007525,0.0007525,0.0007525
27,5108.27,1.71876,1.88798,1.51954,0.56563,0.49233,0.50956,0.25556,1.72446,1.76533,1.53462,0.0007426,0.0007426,0.0007426
28,5292.4,1.71781,1.88389,1.52097,0.56878,0.48898,0.5145,0.25718,1.72553,1.75944,1.53274,0.0007327,0.0007327,0.0007327
29,5479.86,1.71575,1.87372,1.51409,0.56455,0.49697,0.51829,0.26075,1.72022,1.754,1.53067,0.0007228,0.0007228,0.0007228
30,5666.19,1.72048,1.87499,1.51784,0.57836,0.48977,0.52079,0.26195,1.71562,1.74348,1.52897,0.0007129,0.0007129,0.0007129
31,5852.08,1.70962,1.85828,1.50623,0.57906,0.49256,0.52363,0.26339,1.71177,1.73747,1.52471,0.000703,0.000703,0.000703
32,6038.66,1.70646,1.8425,1.50574,0.58709,0.49635,0.52663,0.26566,1.70827,1.72343,1.52335,0.0006931,0.0006931,0.0006931
33,6224.82,1.70409,1.83146,1.50361,0.58438,0.49978,0.52735,0.26732,1.70885,1.72119,1.52284,0.0006832,0.0006832,0.0006832
34,6413.33,1.69458,1.82996,1.49582,0.57249,0.50705,0.52847,0.26832,1.70408,1.7178,1.51914,0.0006733,0.0006733,0.0006733
